,handle,user_rating,skill_strings,skill_math,skill_implementation,skill_data structures,skill_dp,skill_constructive algorithms,skill_graphs,skill_geometry,contest_id,problem_index,problem_name,rating,is_strings,is_math,is_implementation,is_data structures,is_dp,is_constructive algorithms,is_graphs,is_geometry,is_solved
0,MiFaFaOvO,3681,0.03941379537624912,0.1974963005155248,0.05219459047661286,0.19000114719348918,0.19003089468096407,0.1327502604048036,0.17229198709890908,0.025821024253442047,1208,A,XORinacci,900,0,1,0,0,0,0,0,0,1
1,MiFaFaOvO,3681,0.03941379537624912,0.1974963005155248,0.05219459047661286,0.19000114719348918,0.19003089468096407,0.1327502604048036,0.17229198709890908,0.025821024253442047,1208,B,Uniqueness,1500,0,0,1,0,0,0,0,0,1
2,MiFaFaOvO,3681,0.03941379537624912,0.1974963005155248,0.05219459047661286,0.19000114719348918,0.19003089468096407,0.1327502604048036,0.17229198709890908,0.025821024253442047,1208,C,Magic Grid,1800,0,0,0,0,0,1,0,0,1
3,MiFaFaOvO,3681,0.03941379537624912,0.1974963005155248,0.05219459047661286,0.19000114719348918,0.19003089468096407,0.1327502604048036,0.17229198709890908,0.025821024253442047,1208,D,Restore Permutation,1900,0,0,1,1,0,0,0,0,1
4,MiFaFaOvO,3681,0.03941379537624912,0.1974963005155248,0.05219459047661286,0.19000114719348918,0.19003089468096407,0.1327502604048036,0.17229198709890908,0.025821024253442047,1208,E,Let Them Slide,2200,0,0,1,1,0,0,0,0,1
5,MiFaFaOvO,3681,0.03941379537624912,0.1974963005155248,0.05219459047661286,0.19000114719348918,0.19003089468096407,0.1327502604048036,0.17229198709890908,0.025821024253442047,1208,F,Bits And Pieces,2600,0,0,0,0,1,0,0,0,1
6,MiFaFaOvO,3681,0.03941379537624912,0.1974963005155248,0.05219459047661286,0.19000114719348918,0.19003089468096407,0.1327502604048036,0.17229198709890908,0.025821024253442047,1208,G,Polygons,2700,0,1,0,0,0,0,0,0,1
7,MiFaFaOvO,3681,0.03941379537624912,0.1974963005155248,0.05219459047661286,0.19000114719348918,0.19003089468096407,0.1327502604048036,0.17229198709890908,0.025821024253442047,1208,H,Red Blue Tree,3500,0,0,1,1,0,0,0,0,0
8,tlwpdus,2682,0.04102301508737677,0.14833817009081807,0.09880189783111827,0.11917765139773001,0.279725294165156,0.16748065911442678,0.10133615332538554,0.044117158987986335,1208,A,XORinacci,900,0,1,0,0,0,0,0,0,1
9,tlwpdus,2682,0.04102301508737677,0.14833817009081807,0.09880189783111827,0.11917765139773001,0.279725294165156,0.16748065911442678,0.10133615332538554,0.044117158987986335,1208,B,Uniqueness,1500,0,0,1,0,0,0,0,0,1
10,tlwpdus,2682,0.04102301508737677,0.14833817009081807,0.09880189783111827,0.11917765139773001,0.279725294165156,0.16748065911442678,0.10133615332538554,0.044117158987986335,1208,C,Magic Grid,1800,0,0,0,0,0,1,0,0,1
11,tlwpdus,2682,0.04102301508737677,0.14833817009081807,0.09880189783111827,0.11917765139773001,0.279725294165156,0.16748065911442678,0.10133615332538554,0.044117158987986335,1208,D,Restore Permutation,1900,0,0,1,1,0,0,0,0,1
12,tlwpdus,2682,0.04102301508737677,0.14833817009081807,0.09880189783111827,0.11917765139773001,0.279725294165156,0.16748065911442678,0.10133615332538554,0.044117158987986335,1208,E,Let Them Slide,2200,0,0,1,1,0,0,0,0,1
13,tlwpdus,2682,0.04102301508737677,0.14833817009081807,0.09880189783111827,0.11917765139773001,0.279725294165156,0.16748065911442678,0.10133615332538554,0.044117158987986335,1208,F,Bits And Pieces,2600,0,0,0,0,1,0,0,0,1
14,tlwpdus,2682,0.04102301508737677,0.14833817009081807,0.09880189783111827,0.11917765139773001,0.279725294165156,0.16748065911442678,0.10133615332538554,0.044117158987986335,1208,G,Polygons,2700,0,1,0,0,0,0,0,0,1
15,tlwpdus,2682,0.04102301508737677,0.14833817009081807,0.09880189783111827,0.11917765139773001,0.279725294165156,0.16748065911442678,0.10133615332538554,0.044117158987986335,1208,H,Red Blue Tree,3500,0,0,1,1,0,0,0,0,0
16,hos.lyric,2924,0.04559164003943876,0.2740352274250702,0.09176733752908295,0.1341931675533984,0.20594195311137198,0.0782120736192491,0.12393081527135759,0.04632778545102984,1208,A,XORinacci,900,0,1,0,0,0,0,0,0,1
17,hos.lyric,2924,0.04559164003943876,0.2740352274250702,0.09176733752908295,0.1341931675533984,0.20594195311137198,0.0782120736192491,0.12393081527135759,0.04632778545102984,1208,B,Uniqueness,1500,0,0,1,0,0,0,0,0,1
18,hos.lyric,2924,0.04559164003943876,0.2740352274250702,0.09176733752908295,0.1341931675533984,0.20594195311137198,0.0782120736192491,0.12393081527135759,0.04632778545102984,1208,C,Magic Grid,1800,0,0,0,0,0,1,0,0,1
19,hos.lyric,2924,0.04559164003943876,0.2740352274250702,0.09176733752908295,0.1341931675533984,0.20594195311137198,0.0782120736192491,0.12393081527135759,0.04632778545102984,1208,D,Restore Permutation,1900,0,0,1,1,0,0,0,0,1
20,hos.lyric,2924,0.04559164003943876,0.2740352274250702,0.09176733752908295,0.1341931675533984,0.20594195311137198,0.0782120736192491,0.12393081527135759,0.04632778545102984,1208,E,Let Them Slide,2200,0,0,1,1,0,0,0,0,1
21,hos.lyric,2924,0.04559164003943876,0.2740352274250702,0.09176733752908295,0.1341931675533984,0.20594195311137198,0.0782120736192491,0.12393081527135759,0.04632778545102984,1208,F,Bits And Pieces,2600,0,0,0,0,1,0,0,0,0
22,hos.lyric,2924,0.04559164003943876,0.2740352274250702,0.09176733752908295,0.1341931675533984,0.20594195311137198,0.0782120736192491,0.12393081527135759,0.04632778545102984,1208,G,Polygons,2700,0,1,0,0,0,0,0,0,1
23,hos.lyric,2924,0.04559164003943876,0.2740352274250702,0.09176733752908295,0.1341931675533984,0.20594195311137198,0.0782120736192491,0.12393081527135759,0.04632778545102984,1208,H,Red Blue Tree,3500,0,0,1,1,0,0,0,0,0
24,Dalgerok,2083,0.04382884527525348,0.09477960770324671,0.0740819842270669,0.3894795770758906,0.21354627337773616,0.05308247888060564,0.09304318078051223,0.03815805267967063,1208,A,XORinacci,900,0,1,0,0,0,0,0,0,1
25,Dalgerok,2083,0.04382884527525348,0.09477960770324671,0.0740819842270669,0.3894795770758906,0.21354627337773616,0.05308247888060564,0.09304318078051223,0.03815805267967063,1208,B,Uniqueness,1500,0,0,1,0,0,0,0,0,1
26,Dalgerok,2083,0.04382884527525348,0.09477960770324671,0.0740819842270669,0.3894795770758906,0.21354627337773616,0.05308247888060564,0.09304318078051223,0.03815805267967063,1208,C,Magic Grid,1800,0,0,0,0,0,1,0,0,1
27,Dalgerok,2083,0.04382884527525348,0.09477960770324671,0.0740819842270669,0.3894795770758906,0.21354627337773616,0.05308247888060564,0.09304318078051223,0.03815805267967063,1208,D,Restore Permutation,1900,0,0,1,1,0,0,0,0,1
28,Dalgerok,2083,0.04382884527525348,0.09477960770324671,0.0740819842270669,0.3894795770758906,0.21354627337773616,0.05308247888060564,0.09304318078051223,0.03815805267967063,1208,E,Let Them Slide,2200,0,0,1,1,0,0,0,0,1
29,Dalgerok,2083,0.04382884527525348,0.09477960770324671,0.0740819842270669,0.3894795770758906,0.21354627337773616,0.05308247888060564,0.09304318078051223,0.03815805267967063,1208,F,Bits And Pieces,2600,0,0,0,0,1,0,0,0,0
30,Dalgerok,2083,0.04382884527525348,0.09477960770324671,0.0740819842270669,0.3894795770758906,0.21354627337773616,0.05308247888060564,0.09304318078051223,0.03815805267967063,1208,G,Polygons,2700,0,1,0,0,0,0,0,0,0
31,Dalgerok,2083,0.04382884527525348,0.09477960770324671,0.0740819842270669,0.3894795770758906,0.21354627337773616,0.05308247888060564,0.09304318078051223,0.03815805267967063,1208,H,Red Blue Tree,3500,0,0,1,1,0,0,0,0,0
32,antontrygubO_o,2462,0.04214942926547053,0.24862893554464435,0.07601252645674904,0.10243868207729782,0.16809713517881414,0.2274684216551837,0.09183033857581814,0.04337453124602005,1208,A,XORinacci,900,0,1,0,0,0,0,0,0,1
33,antontrygubO_o,2462,0.04214942926547053,0.24862893554464435,0.07601252645674904,0.10243868207729782,0.16809713517881414,0.2274684216551837,0.09183033857581814,0.04337453124602005,1208,B,Uniqueness,1500,0,0,1,0,0,0,0,0,1
34,antontrygubO_o,2462,0.04214942926547053,0.24862893554464435,0.07601252645674904,0.10243868207729782,0.16809713517881414,0.2274684216551837,0.09183033857581814,0.04337453124602005,1208,C,Magic Grid,1800,0,0,0,0,0,1,0,0,1
35,antontrygubO_o,2462,0.04214942926547053,0.24862893554464435,0.07601252645674904,0.10243868207729782,0.16809713517881414,0.2274684216551837,0.09183033857581814,0.04337453124602005,1208,D,Restore Permutation,1900,0,0,1,1,0,0,0,0,1
36,antontrygubO_o,2462,0.04214942926547053,0.24862893554464435,0.07601252645674904,0.10243868207729782,0.16809713517881414,0.2274684216551837,0.09183033857581814,0.04337453124602005,1208,E,Let Them Slide,2200,0,0,1,1,0,0,0,0,0
37,antontrygubO_o,2462,0.04214942926547053,0.24862893554464435,0.07601252645674904,0.10243868207729782,0.16809713517881414,0.2274684216551837,0.09183033857581814,0.04337453124602005,1208,F,Bits And Pieces,2600,0,0,0,0,1,0,0,0,0
